method,agent,model,task_id,difficulty,intent_type,supported,success,pass_count,fail_count,num_tests,invalid_tool_calls,failed_api_attempts,unsafe_state_changes,api_calls,code_exec_calls,llm_calls,prompt_tokens,completion_tokens,token_proxy,reason,execution_failed,parse_error,raw_model_output_preview,output_preview,failed_requirements
rave_appworld_slice,deterministic,,5238afc_1,1,appworld_amazon_order_product_type_from_saved_list,1,1,7,0,7,0,0,0,31,1,0,0,0,374,appworld_rave_amazon_order_product_type_from_saved_list,0,,,,
rave_appworld_slice,deterministic,,5238afc_2,1,appworld_amazon_order_product_type_from_saved_list,1,1,7,0,7,0,0,0,39,1,0,0,0,374,appworld_rave_amazon_order_product_type_from_saved_list,0,,,,
rave_appworld_slice,deterministic,,5238afc_3,1,appworld_amazon_order_product_type_from_saved_list,1,1,7,0,7,0,0,0,34,1,0,0,0,372,appworld_rave_amazon_order_product_type_from_saved_list,0,,,,
rave_appworld_slice,deterministic,,0d22252_1,1,appworld_amazon_order_product_type_from_saved_list,1,1,8,0,8,0,0,0,26,1,0,0,0,375,appworld_rave_amazon_order_product_type_from_saved_list,0,,,,
rave_appworld_slice,deterministic,,0d22252_2,1,appworld_amazon_order_product_type_from_saved_list,1,1,8,0,8,0,0,0,32,1,0,0,0,375,appworld_rave_amazon_order_product_type_from_saved_list,0,,,,
rave_appworld_slice,deterministic,,0d22252_3,1,appworld_amazon_order_product_type_from_saved_list,1,1,8,0,8,0,0,0,26,1,0,0,0,377,appworld_rave_amazon_order_product_type_from_saved_list,0,,,,
rave_appworld_slice,deterministic,,9bf2c8a_1,1,appworld_amazon_move_product_type_between_saved_lists,1,1,6,0,6,0,0,0,25,1,0,0,0,183,appworld_rave_amazon_move_product_type_between_saved_lists,0,,,,
rave_appworld_slice,deterministic,,9bf2c8a_2,1,appworld_amazon_move_product_type_between_saved_lists,1,1,6,0,6,0,0,0,20,1,0,0,0,181,appworld_rave_amazon_move_product_type_between_saved_lists,0,,,,
rave_appworld_slice,deterministic,,9bf2c8a_3,1,appworld_amazon_move_product_type_between_saved_lists,1,1,6,0,6,0,0,0,21,1,0,0,0,181,appworld_rave_amazon_move_product_type_between_saved_lists,0,,,,
rave_appworld_slice,deterministic,,b3bdcc1_1,2,unsupported,0,0,1,8,9,1,0,0,0,0,0,0,0,19,no_appworld_intent_machine_matched,0,,,,
rave_appworld_slice,deterministic,,b3bdcc1_2,2,unsupported,0,0,1,8,9,1,0,0,0,0,0,0,0,19,no_appworld_intent_machine_matched,0,,,,
rave_appworld_slice,deterministic,,b3bdcc1_3,2,unsupported,0,0,1,8,9,1,0,0,0,0,0,0,0,20,no_appworld_intent_machine_matched,0,,,,
rave_appworld_slice,deterministic,,6474048_1,2,unsupported,0,0,1,7,8,1,0,0,0,0,0,0,0,23,no_appworld_intent_machine_matched,0,,,,
rave_appworld_slice,deterministic,,6474048_2,2,unsupported,0,0,1,7,8,1,0,0,0,0,0,0,0,25,no_appworld_intent_machine_matched,0,,,,
rave_appworld_slice,deterministic,,6474048_3,2,unsupported,0,0,1,7,8,1,0,0,0,0,0,0,0,24,no_appworld_intent_machine_matched,0,,,,
rave_appworld_slice,deterministic,,9871968_1,2,unsupported,0,0,1,6,7,1,0,0,0,0,0,0,0,14,no_appworld_intent_machine_matched,0,,,,
rave_appworld_slice,deterministic,,9871968_2,2,unsupported,0,0,1,6,7,1,0,0,0,0,0,0,0,14,no_appworld_intent_machine_matched,0,,,,
rave_appworld_slice,deterministic,,9871968_3,2,unsupported,0,0,1,6,7,1,0,0,0,0,0,0,0,14,no_appworld_intent_machine_matched,0,,,,
rave_appworld_slice,deterministic,,07bb666_1,1,appworld_amazon_move_rating_filtered_products,1,1,6,0,6,0,0,0,18,1,0,0,0,191,appworld_rave_amazon_move_rating_filtered_products,0,,,,
rave_appworld_slice,deterministic,,07bb666_2,1,appworld_amazon_move_rating_filtered_products,1,1,6,0,6,0,0,0,18,1,0,0,0,191,appworld_rave_amazon_move_rating_filtered_products,0,,,,
rave_appworld_slice,deterministic,,07bb666_3,1,appworld_amazon_move_rating_filtered_products,1,1,6,0,6,0,0,0,14,1,0,0,0,191,appworld_rave_amazon_move_rating_filtered_products,0,,,,
rave_appworld_slice,deterministic,,383a053_1,2,unsupported,0,0,1,8,9,1,0,0,0,0,0,0,0,28,no_appworld_intent_machine_matched,0,,,,
rave_appworld_slice,deterministic,,383a053_2,2,unsupported,0,0,1,8,9,1,0,0,0,0,0,0,0,28,no_appworld_intent_machine_matched,0,,,,
rave_appworld_slice,deterministic,,383a053_3,2,unsupported,0,0,1,8,9,1,0,0,0,0,0,0,0,28,no_appworld_intent_machine_matched,0,,,,
