method,agent,model,task_id,difficulty,intent_type,supported,success,pass_count,fail_count,num_tests,invalid_tool_calls,failed_api_attempts,unsafe_state_changes,api_calls,code_exec_calls,llm_calls,prompt_tokens,completion_tokens,token_proxy,reason,execution_failed,parse_error,raw_model_output_preview,output_preview,failed_requirements
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,0d8a4ee_1,2,appworld_llm_intent_code,1,0,1,4,5,1,0,0,4,1,2,1271,580,1851,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,0d8a4ee_2,2,appworld_llm_intent_code,1,0,1,4,5,1,0,0,5,1,2,1274,563,1837,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,0d8a4ee_3,2,appworld_llm_intent_code,1,0,1,4,5,1,0,0,1000,1,2,1279,743,2022,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,37a8675_1,2,appworld_llm_intent_code,1,0,0,6,6,1,0,0,4,1,2,1248,468,1716,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,37a8675_2,2,appworld_llm_intent_code,1,0,0,6,6,1,0,0,5,1,2,1248,396,1644,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,37a8675_3,2,appworld_llm_intent_code,1,0,1,5,6,0,0,0,5,1,2,1248,423,1671,appworld_llm_intent_code,0,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,771d8fc_1,1,appworld_llm_intent_code,1,0,2,4,6,1,0,0,4,1,2,1232,384,1616,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,771d8fc_2,1,appworld_llm_intent_code,1,0,2,4,6,1,0,0,4,1,2,1232,461,1693,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,771d8fc_3,1,appworld_llm_intent_code,1,0,2,4,6,1,0,0,4,1,2,1232,463,1695,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,cf6abd2_1,1,appworld_llm_intent_code,1,0,1,7,8,1,0,0,4,1,2,1242,611,1853,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,cf6abd2_2,1,appworld_llm_intent_code,1,0,1,7,8,1,0,0,4,1,2,1238,532,1770,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,cf6abd2_3,1,appworld_llm_intent_code,1,0,1,7,8,1,0,0,4,1,2,1239,699,1938,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,07b42fd_1,1,appworld_llm_intent_code,1,0,1,4,5,1,0,0,4,1,2,1236,337,1573,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,07b42fd_2,1,appworld_llm_intent_code,1,0,1,4,5,1,0,0,4,1,2,1238,351,1589,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,07b42fd_3,1,appworld_llm_intent_code,1,0,1,4,5,1,0,0,4,1,2,1239,337,1576,appworld_llm_intent_code,1,,,,
