method,agent,model,task_id,difficulty,intent_type,supported,success,pass_count,fail_count,num_tests,invalid_tool_calls,failed_api_attempts,unsafe_state_changes,api_calls,code_exec_calls,llm_calls,prompt_tokens,completion_tokens,token_proxy,reason,execution_failed,parse_error,raw_model_output_preview,output_preview,failed_requirements
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,0d8a4ee_1,2,appworld_llm_react_code,1,0,4,1,5,0,0,0,10,2,2,4224,453,4677,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,0d8a4ee_2,2,appworld_llm_react_code,1,0,4,1,5,1,1,0,26,4,5,13406,1166,14572,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,0d8a4ee_3,2,appworld_llm_react_code,1,1,5,0,5,1,1,0,49,5,5,15989,1872,17861,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,13547f5_1,1,appworld_llm_react_code,1,1,6,0,6,0,0,0,8,2,2,4050,289,4339,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,13547f5_2,1,appworld_llm_react_code,1,0,5,1,6,1,1,0,8,2,4,8433,552,8985,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,13547f5_3,1,appworld_llm_react_code,1,1,6,0,6,0,0,0,6,2,2,3779,249,4028,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,37a8675_1,2,appworld_llm_react_code,1,0,0,6,6,0,0,0,11,5,5,11480,628,12108,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,37a8675_2,2,appworld_llm_react_code,1,0,1,5,6,0,0,0,10,4,4,11605,813,12418,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,37a8675_3,2,appworld_llm_react_code,1,0,5,1,6,0,0,0,11,4,5,15508,823,16331,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,024c982_1,1,appworld_llm_react_code,1,0,6,1,7,2,2,0,8,2,5,11596,711,12307,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,024c982_2,1,appworld_llm_react_code,1,0,0,7,7,2,2,0,12,3,5,12253,925,13178,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,024c982_3,1,appworld_llm_react_code,1,1,7,0,7,2,2,0,7,2,4,9095,832,9927,appworld_llm_react_code,0,,,,
