method,agent,model,task_id,difficulty,intent_type,supported,success,pass_count,fail_count,num_tests,invalid_tool_calls,failed_api_attempts,unsafe_state_changes,api_calls,code_exec_calls,llm_calls,prompt_tokens,completion_tokens,token_proxy,reason,execution_failed,parse_error,raw_model_output_preview,output_preview,failed_requirements
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,09ac073_1,2,appworld_llm_react_code,1,0,3,3,6,0,0,0,35,5,5,17478,1745,19223,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,09ac073_2,2,appworld_llm_react_code,1,0,5,1,6,0,0,0,17,4,4,12117,1301,13418,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,09ac073_3,2,appworld_llm_react_code,1,0,5,1,6,0,0,0,26,3,4,11588,714,12302,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,771d8fc_1,1,appworld_llm_react_code,1,0,5,1,6,0,0,0,25,2,2,4215,518,4733,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,771d8fc_2,1,appworld_llm_react_code,1,0,5,1,6,0,0,0,21,2,2,4225,530,4755,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,771d8fc_3,1,appworld_llm_react_code,1,0,5,1,6,0,0,0,26,2,2,4217,533,4750,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,cf6abd2_1,1,appworld_llm_react_code,1,0,1,7,8,0,0,0,8,5,5,9898,351,10249,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,cf6abd2_2,1,appworld_llm_react_code,1,0,7,1,8,0,0,0,7,3,4,9519,367,9886,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,cf6abd2_3,1,appworld_llm_react_code,1,0,7,1,8,0,0,0,7,4,5,12423,376,12799,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,07b42fd_1,1,appworld_llm_react_code,1,1,5,0,5,1,1,0,14,3,3,6205,825,7030,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,07b42fd_2,1,appworld_llm_react_code,1,0,4,1,5,1,1,0,9,2,4,8395,586,8981,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,07b42fd_3,1,appworld_llm_react_code,1,1,5,0,5,3,3,0,14,3,5,11871,1331,13202,appworld_llm_react_code,0,,,,
