method,agent,model,task_id,difficulty,intent_type,supported,success,pass_count,fail_count,num_tests,invalid_tool_calls,failed_api_attempts,unsafe_state_changes,api_calls,code_exec_calls,llm_calls,prompt_tokens,completion_tokens,token_proxy,reason,execution_failed,parse_error,raw_model_output_preview,output_preview,failed_requirements
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,0d8a4ee_1,2,appworld_llm_react_code,1,0,2,3,5,0,0,0,7,1,1,821,491,1312,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,0d8a4ee_2,2,appworld_llm_react_code,1,1,5,0,5,0,0,0,21,4,4,7959,1026,8985,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,0d8a4ee_3,2,appworld_llm_react_code,1,0,1,4,5,1,1,0,34,5,5,8699,1947,10646,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,13547f5_1,1,appworld_llm_react_code,1,1,6,0,6,1,1,0,9,2,3,3465,493,3958,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,13547f5_2,1,appworld_llm_react_code,1,1,6,0,6,0,0,0,7,2,2,2011,313,2324,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,13547f5_3,1,appworld_llm_react_code,1,1,6,0,6,0,0,0,11,5,5,8051,792,8843,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,37a8675_1,2,appworld_llm_react_code,1,0,0,6,6,2,2,0,9,3,5,7788,747,8535,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,37a8675_2,2,appworld_llm_react_code,1,0,0,6,6,2,2,0,9,3,5,7715,763,8478,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,37a8675_3,2,appworld_llm_react_code,1,0,1,5,6,0,0,0,6,1,1,813,571,1384,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,771d8fc_1,1,appworld_llm_react_code,1,0,5,1,6,0,0,0,25,2,2,2404,522,2926,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,771d8fc_2,1,appworld_llm_react_code,1,0,5,1,6,0,0,0,21,2,2,2412,522,2934,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,771d8fc_3,1,appworld_llm_react_code,1,0,5,1,6,0,0,0,26,2,2,2404,522,2926,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,cf6abd2_1,1,appworld_llm_react_code,1,0,7,1,8,0,0,0,7,3,4,6920,465,7385,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,cf6abd2_2,1,appworld_llm_react_code,1,1,8,0,8,0,0,0,8,4,4,7003,482,7485,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,cf6abd2_3,1,appworld_llm_react_code,1,0,7,1,8,0,0,0,7,3,4,6818,373,7191,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,07b42fd_1,1,appworld_llm_react_code,1,1,5,0,5,1,1,0,19,4,4,5166,1053,6219,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,07b42fd_2,1,appworld_llm_react_code,1,0,4,1,5,2,2,0,9,2,5,6344,766,7110,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,07b42fd_3,1,appworld_llm_react_code,1,1,5,0,5,1,1,0,15,3,3,3517,864,4381,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,aa8502b_1,2,appworld_llm_react_code,1,1,4,0,4,2,2,0,28,2,4,5118,956,6074,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,aa8502b_2,2,appworld_llm_react_code,1,1,4,0,4,1,1,0,22,3,3,4716,1439,6155,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,aa8502b_3,2,appworld_llm_react_code,1,0,1,3,4,4,4,0,10,2,5,7393,1459,8852,appworld_llm_react_code,0,,,,
