method,agent,model,task_id,difficulty,intent_type,supported,success,pass_count,fail_count,num_tests,invalid_tool_calls,failed_api_attempts,unsafe_state_changes,api_calls,code_exec_calls,llm_calls,prompt_tokens,completion_tokens,token_proxy,reason,execution_failed,parse_error,raw_model_output_preview,output_preview,failed_requirements
rave_appworld_slice,deterministic,,0d8a4ee_1,2,appworld_phone_message_non_venmo_contacts,1,1,5,0,5,0,0,0,13,1,0,0,0,167,appworld_rave_phone_message_non_venmo_contacts,0,,,,
rave_appworld_slice,deterministic,,0d8a4ee_2,2,appworld_phone_message_non_venmo_contacts,1,1,5,0,5,0,0,0,14,1,0,0,0,167,appworld_rave_phone_message_non_venmo_contacts,0,,,,
rave_appworld_slice,deterministic,,0d8a4ee_3,2,appworld_phone_message_non_venmo_contacts,1,1,5,0,5,0,0,0,19,1,0,0,0,171,appworld_rave_phone_message_non_venmo_contacts,0,,,,
rave_appworld_slice,deterministic,,13547f5_1,1,appworld_phone_send_message_to_relationship,1,1,6,0,6,0,0,0,8,1,0,0,0,161,appworld_rave_phone_send_message_to_relationship,0,,,,
rave_appworld_slice,deterministic,,13547f5_2,1,appworld_phone_send_message_to_relationship,1,1,6,0,6,0,0,0,6,1,0,0,0,166,appworld_rave_phone_send_message_to_relationship,0,,,,
rave_appworld_slice,deterministic,,13547f5_3,1,appworld_phone_send_message_to_relationship,1,1,6,0,6,0,0,0,6,1,0,0,0,162,appworld_rave_phone_send_message_to_relationship,0,,,,
rave_appworld_slice,deterministic,,37a8675_1,2,appworld_venmo_send_to_phone_number,1,1,6,0,6,3,3,0,14,1,0,0,0,267,appworld_rave_venmo_send_to_phone_number,0,,,,
rave_appworld_slice,deterministic,,37a8675_2,2,appworld_venmo_send_to_phone_number,1,1,6,0,6,1,1,0,11,1,0,0,0,267,appworld_rave_venmo_send_to_phone_number,0,,,,
rave_appworld_slice,deterministic,,37a8675_3,2,appworld_venmo_send_to_phone_number,1,1,6,0,6,1,1,0,11,1,0,0,0,267,appworld_rave_venmo_send_to_phone_number,0,,,,
rave_appworld_slice,deterministic,,4fab96f_1,2,appworld_venmo_remind_old_payment_requests,1,1,8,0,8,0,0,0,14,1,0,0,0,175,appworld_rave_venmo_remind_old_payment_requests,0,,,,
rave_appworld_slice,deterministic,,4fab96f_2,2,appworld_venmo_remind_old_payment_requests,1,1,8,0,8,0,0,0,24,1,0,0,0,175,appworld_rave_venmo_remind_old_payment_requests,0,,,,
rave_appworld_slice,deterministic,,4fab96f_3,2,appworld_venmo_remind_old_payment_requests,1,1,8,0,8,0,0,0,14,1,0,0,0,175,appworld_rave_venmo_remind_old_payment_requests,0,,,,
rave_appworld_slice,deterministic,,6ea6792_1,1,appworld_venmo_process_pending_payment_requests,1,1,6,0,6,0,0,0,20,1,0,0,0,243,appworld_rave_venmo_process_pending_payment_requests,0,,,,
rave_appworld_slice,deterministic,,6ea6792_2,1,appworld_venmo_process_pending_payment_requests,1,1,6,0,6,0,0,0,24,1,0,0,0,243,appworld_rave_venmo_process_pending_payment_requests,0,,,,
rave_appworld_slice,deterministic,,6ea6792_3,1,appworld_venmo_process_pending_payment_requests,1,1,6,0,6,0,0,0,28,1,0,0,0,243,appworld_rave_venmo_process_pending_payment_requests,0,,,,
rave_appworld_slice,deterministic,,771d8fc_1,1,appworld_delete_phone_spam_messages,1,1,6,0,6,0,0,0,28,1,0,0,0,131,appworld_rave_delete_phone_spam_messages,0,,,,
rave_appworld_slice,deterministic,,771d8fc_2,1,appworld_delete_phone_spam_messages,1,1,6,0,6,0,0,0,25,1,0,0,0,131,appworld_rave_delete_phone_spam_messages,0,,,,
rave_appworld_slice,deterministic,,771d8fc_3,1,appworld_delete_phone_spam_messages,1,1,6,0,6,0,0,0,26,1,0,0,0,131,appworld_rave_delete_phone_spam_messages,0,,,,
rave_appworld_slice,deterministic,,cf6abd2_1,1,appworld_bucket_list_status_update,1,1,8,0,8,0,0,0,8,1,0,0,0,196,appworld_rave_bucket_list_status_update,0,,,,
rave_appworld_slice,deterministic,,cf6abd2_2,1,appworld_bucket_list_status_update,1,1,8,0,8,0,0,0,8,1,0,0,0,191,appworld_rave_bucket_list_status_update,0,,,,
rave_appworld_slice,deterministic,,cf6abd2_3,1,appworld_bucket_list_status_update,1,1,8,0,8,0,0,0,8,1,0,0,0,190,appworld_rave_bucket_list_status_update,0,,,,
rave_appworld_slice,deterministic,,07b42fd_1,1,appworld_spotify_follow_artists_by_genre_followers,1,1,5,0,5,0,0,0,6,1,0,0,0,115,appworld_rave_spotify_follow_artists_by_genre_followers,0,,,,
rave_appworld_slice,deterministic,,07b42fd_2,1,appworld_spotify_follow_artists_by_genre_followers,1,1,5,0,5,0,0,0,6,1,0,0,0,115,appworld_rave_spotify_follow_artists_by_genre_followers,0,,,,
rave_appworld_slice,deterministic,,07b42fd_3,1,appworld_spotify_follow_artists_by_genre_followers,1,1,5,0,5,0,0,0,6,1,0,0,0,115,appworld_rave_spotify_follow_artists_by_genre_followers,0,,,,
rave_appworld_slice,deterministic,,aa8502b_1,2,appworld_spotify_sync_following_by_liked_song_artists,1,1,4,0,4,0,0,0,26,1,0,0,0,159,appworld_rave_spotify_sync_following_by_liked_song_artists,0,,,,
rave_appworld_slice,deterministic,,aa8502b_2,2,appworld_spotify_sync_following_by_liked_song_artists,1,1,4,0,4,0,0,0,12,1,0,0,0,160,appworld_rave_spotify_sync_following_by_liked_song_artists,0,,,,
rave_appworld_slice,deterministic,,aa8502b_3,2,appworld_spotify_sync_following_by_liked_song_artists,1,1,4,0,4,0,0,0,24,1,0,0,0,159,appworld_rave_spotify_sync_following_by_liked_song_artists,0,,,,
