intent_type,slots,slot_names,compiler_loc,handler_loc,total_loc,covered_tasks,successful_tasks,unsafe_state_changes,invalid_tool_calls,shared_api_namespaces,shared_runtime_components,adaptation_time
appworld_venmo_friend_transaction_counterparties,2,"direction,sync_mode",20,65,85,6,6,0,0,"supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_file_delete_downloads_by_extension,1,extension,16,32,48,3,3,0,0,"file_system,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_file_reorganize_dated_meeting_files,1,source_directory,18,51,69,3,3,0,0,"file_system,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_file_update_reunion_rsvps_from_phone,1,directory_path,17,156,173,3,3,0,0,"file_system,phone,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_pay_csv_debts_via_venmo_or_splitwise,2,"csv_file_name,private",22,182,204,3,3,0,0,"file_system,splitwise,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_phone_reply_favorite_recipe_to_relationship,1,relationship,18,60,78,3,3,0,0,"phone,simple_note,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_phone_send_message_to_relationship,3,"relationships,message_kind,message",20,51,71,3,3,0,0,"phone,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_phone_update_wake_alarm_snooze,2,"day_type,snooze_minutes",17,42,59,3,3,0,0,"phone,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_simple_note_add_today_habit_log,2,"habit_key,value",32,74,106,3,3,0,0,"simple_note,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_simple_note_count_bucket_list_status,1,status,17,55,72,3,3,0,0,"simple_note,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_simple_note_export_habit_tracker_csv,2,"destination_path,sort_order",22,77,99,3,3,0,0,"file_system,simple_note,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_simple_note_fill_liked_song_release_months,0,none,14,121,135,3,3,0,0,"simple_note,spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_simple_note_import_markdown_files,1,source_directory,19,40,59,3,3,0,0,"file_system,simple_note,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_simple_note_longest_habit_streak,1,habit_key,17,62,79,3,3,0,0,"simple_note,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_simple_note_random_quote,1,quote_type,16,56,72,3,3,0,0,"simple_note,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_simple_note_update_monthly_venmo_expense,0,none,13,79,92,3,3,0,0,"simple_note,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_simple_note_workout_duration,1,day_ref,16,68,84,3,3,0,0,"simple_note,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_splitwise_accept_known_phone_invitations,2,"message_kind,date_window",22,119,141,3,3,0,0,"phone,splitwise,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_splitwise_record_trip_expenses_from_simple_note,1,relationship_type,18,190,208,3,3,0,0,"phone,simple_note,splitwise,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_splitwise_record_venmo_receipt_payments,1,note,18,131,149,3,3,0,0,"splitwise,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_append_most_common_playlist_genre,0,none,14,47,61,3,3,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_apply_phone_playlist_suggestions,1,relationship_type,18,154,172,3,3,0,0,"phone,spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_apply_todoist_playlist_suggestions,3,"destination,relationship_type,final_comment",22,254,276,3,3,0,0,"phone,spotify,supervisor,todoist","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_archive_playlist_songs_from_file,2,"source_file_path,playlist_title",18,77,95,3,3,0,0,"file_system,spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_filter_queue_by_liked_status,1,remove_filter,20,40,60,3,3,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_followed_artist_follower_extreme,1,extreme,15,30,45,3,3,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_like_all_library_items,0,none,12,49,61,3,3,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_liked_genre_extreme,2,"collection_type,extreme",24,64,88,3,3,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_navigate_until_private_status,2,"direction,status_property",19,44,63,3,3,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_play_offline_downloaded_collection,2,"collection_type,required_minutes",21,74,95,3,3,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_play_released_year_from_collection,2,"release_year,collection_type",24,51,75,3,3,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_playlist_artist_song_count_extreme,2,"extreme,limit",18,41,59,3,3,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_playlist_from_recent_simple_note,1,playlist_title,16,122,138,3,3,0,0,"simple_note,spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_public_liked_library_playlist_share,1,partner_relationship,17,77,94,3,3,0,0,"phone,spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_reset_queue_with_recommendations,0,none,12,26,38,3,3,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_todoist_fill_today_from_schedule,1,target_project_name,21,191,212,3,3,0,0,"simple_note,supervisor,todoist","schema,compiler,handler,ledger,policy",not_recorded
appworld_todoist_reassign_accepted_takeover_tasks,1,comment_template,20,101,121,3,3,0,0,"supervisor,todoist","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_accept_named_carpool_request_this_month,1,person_first_name,16,130,146,3,3,0,0,"phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_add_friends_by_relationships,1,relationships,18,54,72,3,3,0,0,"phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_approve_requests_and_withdraw_balance,2,"date_window,card_last4",19,86,105,3,3,0,0,"supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_approve_roommate_requests_this_month,0,none,12,126,138,3,3,0,0,"phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_birthday_child_payment_and_text,4,"relationship,multiplier,note,message",28,181,209,3,3,0,0,"phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_correct_housing_bill_request,3,"percent,adjustment,note",20,92,112,3,3,0,0,"phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_correct_sent_requests_yesterday_evening,3,"relationships,adjustment,difference_amount",24,93,117,3,3,0,0,"phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_count_friends_since_month_start,2,"month,year_offset",22,50,72,3,3,0,0,"supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_request_money_from_contact,5,"relationships,person_first_name,amount,private,note",24,73,97,3,3,0,0,"phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
