method,scenario,categories,success,similarity,milestone_similarity,minefield_similarity,unsafe_state_changes,turn_count,invalid_tool_calls,tool_calls,llm_calls,token_proxy,user_llm_calls,user_token_proxy,verifier_rejections,repair_calls,parse_errors,dynamic_synthesis_records,dynamic_synthesis_proposals,dynamic_synthesis_promotions,dynamic_synthesis_rejections,exception_type,traceback
ToolSandbox PCTU,find_current_city_insufficient_information,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,1,0,0,3,1285,1,736,3,0,0,0,0,0,0,,
ToolSandbox PCTU,find_current_location_insufficient_information,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,1,0,0,3,1261,1,734,3,0,0,0,0,0,0,,
ToolSandbox PCTU,find_current_city_low_battery_mode_insufficient_information,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,7,1,3,6,4671,1,736,3,0,0,0,0,0,0,,
ToolSandbox PCTU,find_current_location_low_battery_mode_insufficient_information,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,1,0,0,3,1430,1,734,3,0,0,0,0,0,0,,
ToolSandbox PCTU,find_min_temperature_weekday_insufficient_information,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,1,0,0,3,1469,1,738,3,0,0,0,0,0,0,,
ToolSandbox PCTU,find_min_temperature_weekday_insufficient_information_alt,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,1,0,0,3,1368,1,738,3,0,0,0,0,0,0,,
ToolSandbox PCTU,find_days_till_holiday_insufficient_information,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,3,0,1,4,2873,1,739,3,0,0,0,0,0,0,,
ToolSandbox PCTU,find_days_till_holiday_insufficient_information_alt,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,1,0,0,3,1483,1,743,3,0,0,0,0,0,0,,
ToolSandbox PCTU,find_temperature_f_with_location_insufficient_information,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,5,0,2,5,4236,1,740,3,0,0,0,0,0,0,,
ToolSandbox PCTU,find_temperature_f_with_location_insufficient_information_alt,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,3,0,1,4,2609,1,741,3,0,0,0,0,0,0,,
ToolSandbox PCTU,modify_contact_with_message_recency_insufficient_information,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,30,0,14,15,16866,1,787,0,0,0,0,0,0,0,,
ToolSandbox PCTU,modify_contact_with_message_recency_insufficient_information_alt,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,1,0,0,1,718,1,745,0,0,1,0,0,0,0,,
ToolSandbox PCTU,remove_contact_by_phone_no_remove_contact_insufficient_information,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,30,0,15,17,37179,0,0,2,0,0,0,0,0,0,,
ToolSandbox PCTU,remove_contact_by_phone_no_remove_contact_insufficient_information_alt,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,30,0,15,17,36356,0,0,2,0,0,0,0,0,0,,
ToolSandbox PCTU,remove_contact_by_phone_no_search_contacts_insufficient_information,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,0,0.0,1.0,1.0,1,11,5,5,8,13090,1,742,3,0,0,0,0,0,0,,
ToolSandbox PCTU,remove_contact_by_phone_no_search_contacts_insufficient_information_alt,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,0,0.0,1.0,1.0,1,15,7,7,8,14283,1,770,0,0,0,0,0,0,0,,
ToolSandbox PCTU,send_message_with_contact_content_cellular_off_insufficient_information,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,0,0.0,1.0,1.0,1,30,12,15,16,30900,0,0,1,0,0,0,0,0,0,,
ToolSandbox PCTU,send_message_with_contact_content_cellular_off_insufficient_information_alt,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,3,0,1,4,2182,1,745,3,0,0,0,0,0,0,,
ToolSandbox PCTU,find_distance_with_location_name_insufficient_information,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,3,0,0,4,2174,2,1567,3,0,0,0,0,0,0,,
