method,scenario,categories,success,similarity,milestone_similarity,minefield_similarity,unsafe_state_changes,turn_count,invalid_tool_calls,tool_calls,llm_calls,token_proxy,user_llm_calls,user_token_proxy,verifier_rejections,repair_calls,parse_errors,exception_type,traceback
ToolSandbox ReAct,search_message_with_recency_latest_multiple_user_turn,MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,30,12,12,15,15018,0,0,0,0,0,,
ToolSandbox ReAct,search_message_with_recency_latest_multiple_user_turn_alt,MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,30,15,15,15,16947,0,0,0,0,0,,
ToolSandbox ReAct,search_message_with_recency_oldest_multiple_user_turn,MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,30,14,14,15,15353,0,0,0,0,0,,
ToolSandbox ReAct,search_message_with_recency_oldest_multiple_user_turn_alt,MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,30,15,15,15,16947,0,0,0,0,0,,
ToolSandbox ReAct,modify_contact_with_message_recency_multiple_user_turn,CANONICALIZATION;MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.2886,0.2886,0.0,0,13,0,5,7,5781,0,0,0,0,1,,
ToolSandbox ReAct,modify_contact_with_message_recency_multiple_user_turn_alt,CANONICALIZATION;MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0928,0.0928,0.0,0,23,7,7,12,16720,0,0,0,0,0,,
ToolSandbox ReAct,remove_contact_by_phone_multiple_user_turn,MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,30,13,13,15,18448,0,0,0,0,0,,
ToolSandbox ReAct,remove_contact_by_phone_multiple_user_turn_alt,MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,30,12,12,15,20028,0,0,0,0,0,,
ToolSandbox ReAct,send_message_with_contact_content_cellular_off_multiple_user_turn,STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,15,7,7,8,5198,0,0,0,0,1,,
ToolSandbox ReAct,send_message_with_contact_content_cellular_off_multiple_user_turn_alt,STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,30,15,15,15,14605,0,0,0,0,0,,
ToolSandbox ReAct,update_contact_relationship_with_relationship_multiple_user_turn,MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,1,0,0,1,400,0,0,0,0,1,,
ToolSandbox ReAct,update_contact_relationship_with_relationship_twice_multiple_user_turn,MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,1,0,0,1,400,0,0,0,0,1,,
ToolSandbox ReAct,find_days_till_holiday_multiple_user_turn,CANONICALIZATION;MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,30,15,15,15,11350,0,0,0,0,0,,
ToolSandbox ReAct,find_days_till_holiday_wifi_off_multiple_user_turn,CANONICALIZATION;STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,1,0,0,1,296,0,0,0,0,1,,
