method,scenario,categories,success,similarity,milestone_similarity,minefield_similarity,unsafe_state_changes,turn_count,invalid_tool_calls,tool_calls,llm_calls,token_proxy,user_llm_calls,user_token_proxy,verifier_rejections,repair_calls,parse_errors,exception_type,traceback
ToolSandbox RAVE,search_message_with_recency_latest_multiple_user_turn,MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,13,4,5,5,4198,0,0,0,1,0,,
ToolSandbox RAVE,search_message_with_recency_latest_multiple_user_turn_alt,MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,13,4,5,5,4250,0,0,0,1,0,,
ToolSandbox RAVE,search_message_with_recency_oldest_multiple_user_turn,MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.9852,0.9852,0.0,0,15,4,6,5,4198,0,0,0,2,0,,
ToolSandbox RAVE,search_message_with_recency_oldest_multiple_user_turn_alt,MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.9852,0.9852,0.0,0,15,4,6,5,4250,0,0,0,2,0,,
ToolSandbox RAVE,modify_contact_with_message_recency_multiple_user_turn,CANONICALIZATION;MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.7649,0.7649,0.0,0,13,0,5,0,0,0,0,0,5,0,,
ToolSandbox RAVE,modify_contact_with_message_recency_multiple_user_turn_alt,CANONICALIZATION;MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,1,0,0,3,2028,0,0,3,0,0,,
ToolSandbox RAVE,remove_contact_by_phone_multiple_user_turn,MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,13,3,5,4,2562,0,0,0,2,0,,
ToolSandbox RAVE,remove_contact_by_phone_multiple_user_turn_alt,MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.9635,0.9635,0.0,0,7,0,2,1,351,0,0,0,1,0,,
ToolSandbox RAVE,send_message_with_contact_content_cellular_off_multiple_user_turn,STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,11,0,4,0,0,0,0,0,5,0,,
ToolSandbox RAVE,send_message_with_contact_content_cellular_off_multiple_user_turn_alt,STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,11,0,4,0,0,0,0,0,5,0,,
ToolSandbox RAVE,update_contact_relationship_with_relationship_multiple_user_turn,MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.9312,0.9312,0.0,0,9,0,3,0,0,0,0,0,3,0,,
ToolSandbox RAVE,update_contact_relationship_with_relationship_twice_multiple_user_turn,MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.7001,0.7001,0.0,0,9,0,3,0,0,0,0,0,3,0,,
ToolSandbox RAVE,find_days_till_holiday_multiple_user_turn,CANONICALIZATION;MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,15,0,3,0,0,0,0,0,3,0,,
ToolSandbox RAVE,find_days_till_holiday_wifi_off_multiple_user_turn,CANONICALIZATION;STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,19,0,5,0,0,0,0,0,5,0,,
ToolSandbox RAVE,find_temperature_f_with_location_and_time_diff_multiple_user_turn,CANONICALIZATION;MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,15,0,3,0,0,0,0,0,3,0,,
ToolSandbox RAVE,find_temperature_f_with_location_and_time_diff_wifi_off_multiple_user_turn,CANONICALIZATION;STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,19,0,5,0,0,0,0,0,5,0,,
ToolSandbox RAVE,find_temperature_f_with_location_and_time_diff_low_battery_mode_multiple_user_turn,CANONICALIZATION;STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.6,0.6,0.0,0,29,7,13,9,9870,0,0,1,6,1,,
ToolSandbox RAVE,find_distance_with_location_name_multiple_user_turn,CANONICALIZATION;MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,13,0,2,0,0,0,0,0,3,0,,
ToolSandbox RAVE,find_distance_with_location_name_low_battery_mode_multiple_user_turn,CANONICALIZATION;STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,21,0,6,0,0,0,0,0,7,0,,
ToolSandbox RAVE,add_reminder_content_and_date_and_time_multiple_user_turn,CANONICALIZATION;MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,7,0,2,0,0,0,0,0,3,0,,
ToolSandbox RAVE,add_reminder_content_and_date_and_time_multiple_user_turn_alt,CANONICALIZATION;MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,1,0,0,1,410,0,0,0,0,1,,
ToolSandbox RAVE,add_reminder_content_and_week_delta_and_time_multiple_user_turn,CANONICALIZATION;MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,7,0,2,0,0,0,0,0,3,0,,
ToolSandbox RAVE,add_reminder_content_and_week_delta_and_time_multiple_user_turn_alt,CANONICALIZATION;MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,1,0,0,1,477,0,0,0,0,1,,
ToolSandbox RAVE,add_reminder_content_and_weekday_delta_and_time_multiple_user_turn,CANONICALIZATION;MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,7,0,2,0,0,0,0,0,3,0,,
ToolSandbox RAVE,add_reminder_content_and_weekday_delta_and_time_multiple_user_turn_alt,CANONICALIZATION;MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,1,0,0,1,477,0,0,0,0,1,,
ToolSandbox RAVE,add_reminder_content_and_week_delta_and_time_and_location_multiple_user_turn,CANONICALIZATION;MULTIPLE_TOOL_CALL;MULTIPLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,9,0,3,0,0,0,0,0,4,0,,
