method,scenario,categories,success,similarity,milestone_similarity,minefield_similarity,unsafe_state_changes,turn_count,invalid_tool_calls,tool_calls,llm_calls,token_proxy,user_llm_calls,user_token_proxy,verifier_rejections,repair_calls,parse_errors,exception_type,traceback
ToolSandbox RAVE,cellular_off,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,3,0,1,0,0,0,0,0,1,0,,
ToolSandbox RAVE,get_cellular,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,3,0,1,1,191,0,0,0,0,0,,
ToolSandbox RAVE,wifi_off,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,3,0,1,0,0,0,0,0,1,0,,
ToolSandbox RAVE,get_wifi,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,3,0,1,1,185,0,0,0,0,0,,
ToolSandbox RAVE,search_phone_number_with_name,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,3,0,1,0,0,0,0,0,1,0,,
ToolSandbox RAVE,search_name_with_relationship,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,3,0,1,1,309,0,0,0,0,0,,
ToolSandbox RAVE,search_relationship_with_phone_number,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,3,0,1,0,0,0,0,0,1,0,,
ToolSandbox RAVE,add_contact_with_name_and_phone_number,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,3,0,1,0,0,0,0,0,1,0,,
ToolSandbox RAVE,remove_contact_with_id,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,3,0,1,0,0,0,0,0,1,0,,
ToolSandbox RAVE,update_contact_with_id_and_phone_number,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,3,0,1,1,385,0,0,0,0,0,,
ToolSandbox RAVE,search_sender_phone_number_with_content,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,3,0,1,0,0,0,0,0,1,0,,
ToolSandbox RAVE,send_message_with_phone_number_and_content,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,3,0,1,0,0,0,0,0,1,0,,
ToolSandbox RAVE,find_thanksgiving_timestamp,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,3,0,1,1,293,0,0,0,1,1,,
ToolSandbox RAVE,find_address_with_lat_lon,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,3,0,1,0,0,0,0,0,1,0,,
ToolSandbox RAVE,find_phone_number_with_location_name,CANONICALIZATION;SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,3,0,1,0,0,0,0,0,1,0,,
ToolSandbox RAVE,find_temperature,CANONICALIZATION;SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,3,0,1,0,0,0,0,0,1,0,,
ToolSandbox RAVE,find_stock_symbol_with_company_name,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,3,0,1,0,0,0,0,0,1,0,,
ToolSandbox RAVE,convert_currency,CANONICALIZATION;SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,3,0,1,0,0,0,0,0,1,0,,
ToolSandbox RAVE,convert_currency_canonicalize,CANONICALIZATION;SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,3,0,1,0,0,0,0,0,1,0,,
ToolSandbox RAVE,search_message_with_recency_latest,MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,3,0,1,0,0,0,0,0,1,0,,
ToolSandbox RAVE,search_message_with_recency_latest_alt,MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,3,0,1,0,0,0,0,0,1,0,,
ToolSandbox RAVE,search_message_with_recency_oldest,MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,5,0,2,0,0,0,0,0,2,0,,
ToolSandbox RAVE,search_message_with_recency_oldest_alt,MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,5,0,2,0,0,0,0,0,2,0,,
ToolSandbox RAVE,modify_contact_with_message_recency,CANONICALIZATION;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,9,0,4,0,0,0,0,0,4,0,,
ToolSandbox RAVE,modify_contact_with_message_recency_alt,CANONICALIZATION;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,9,0,4,0,0,0,0,0,4,0,,
ToolSandbox RAVE,remove_contact_by_phone,CANONICALIZATION;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,5,0,2,0,0,0,0,0,2,0,,
ToolSandbox RAVE,remove_contact_by_phone_alt,CANONICALIZATION;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,5,0,2,0,0,0,0,0,2,0,,
ToolSandbox RAVE,remove_contact_by_phone_ambiguous,CANONICALIZATION;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,5,0,2,0,0,0,0,0,2,0,,
ToolSandbox RAVE,remove_contact_by_phone_ambiguous_alt,CANONICALIZATION;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,5,0,2,0,0,0,0,0,2,0,,
ToolSandbox RAVE,turn_on_wifi_low_battery_mode,STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,7,0,3,0,0,0,0,0,3,0,,
