method,scenario,categories,success,similarity,milestone_similarity,minefield_similarity,unsafe_state_changes,turn_count,invalid_tool_calls,tool_calls,llm_calls,token_proxy,user_llm_calls,user_token_proxy,verifier_rejections,repair_calls,parse_errors,exception_type,traceback
ToolSandbox ReAct,find_current_city_insufficient_information,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,0,0.0,1.0,1.0,1,35,0,15,18,11533,0,0,0,0,0,,
ToolSandbox ReAct,find_current_location_insufficient_information,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,0,0.0,1.0,1.0,1,35,0,10,18,11681,0,0,0,0,0,,
ToolSandbox ReAct,find_current_city_low_battery_mode_insufficient_information,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,0,0.0,1.0,1.0,1,21,3,10,11,6249,0,0,0,0,1,,
ToolSandbox ReAct,find_current_location_low_battery_mode_insufficient_information,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,11,3,5,6,2608,0,0,0,0,1,,
ToolSandbox ReAct,find_min_temperature_weekday_insufficient_information,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,23,7,7,12,9861,0,0,0,0,0,,
ToolSandbox ReAct,find_min_temperature_weekday_insufficient_information_alt,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,1,0,0,1,247,0,0,0,0,1,,
ToolSandbox ReAct,find_days_till_holiday_insufficient_information,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,5,0,2,3,986,0,0,0,0,1,,
ToolSandbox ReAct,find_days_till_holiday_insufficient_information_alt,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,5,0,2,3,998,0,0,0,0,1,,
ToolSandbox ReAct,find_temperature_f_with_location_insufficient_information,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,1,0,0,1,262,0,0,0,0,1,,
ToolSandbox ReAct,find_temperature_f_with_location_insufficient_information_alt,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,0,0.0,1.0,1.0,1,35,1,16,18,13919,0,0,0,0,0,,
