method,scenario,categories,success,similarity,milestone_similarity,minefield_similarity,unsafe_state_changes,turn_count,invalid_tool_calls,tool_calls,llm_calls,token_proxy,user_llm_calls,user_token_proxy,verifier_rejections,repair_calls,parse_errors,exception_type,traceback
ToolSandbox ReAct,cellular_off,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,1,0,0,1,185,0,0,0,0,1,,
ToolSandbox ReAct,get_cellular,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.5,0.5,0.0,0,21,1,10,11,4624,0,0,0,0,1,,
ToolSandbox ReAct,wifi_off,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.5,0.5,0.0,0,3,0,1,2,411,0,0,0,0,1,,
ToolSandbox ReAct,get_wifi,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,30,7,7,8,3718,0,0,0,0,0,AssertionError,"Traceback (most recent call last):
  File ""<PROJECT_ROOT>/experiments/run_toolsandbox_kill_criteria.py"", line 371, in run_one
    result = scenario.play_and_evaluate(
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""<PROJECT_ROOT>/third_party/ToolSandbox-main/tool_sandbox/common/scenario.py"", line 194, in play_and_evaluate
    conversation = serialize_to_conversation(
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""<PROJECT_ROOT>/third_party/ToolSandbox-main/tool_sandbox/common/message_conversion.py"", line 348, in serialize_to_conversation
    openai_messages, openai_messages_to_subset_indices_mapping = to_openai_messages(
                                                                 ^^^^^^^^^^^^^^^^^^^
  File ""<PROJECT_ROOT>/third_party/ToolSandbox-main/tool_sandbox/common/message_conversion.py"", line 203, in to_openai_messages
    python_code_to_openai_tool_call(
  File ""<PROJECT_ROOT>/third_party/ToolSandbox-main/tool_sandbox/common/message_conversion.py"", line 121, in python_code_to_openai_tool_call
    assert match is not None
           ^^^^^^^^^^^^^^^^^
AssertionError
"
ToolSandbox ReAct,search_phone_number_with_name,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.5,0.5,0.0,0,9,0,4,5,2805,0,0,0,0,0,,
ToolSandbox ReAct,search_name_with_relationship,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,21,0,10,11,5679,0,0,0,0,0,,
ToolSandbox ReAct,search_relationship_with_phone_number,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,21,0,10,11,6693,0,0,0,0,0,,
ToolSandbox ReAct,add_contact_with_name_and_phone_number,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.5,0.5,0.0,0,30,0,15,15,11525,0,0,0,0,0,,
ToolSandbox ReAct,remove_contact_with_id,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.7248,0.7248,0.0,0,15,6,7,8,8312,0,0,0,0,0,,
ToolSandbox ReAct,update_contact_with_id_and_phone_number,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.5,0.5,0.0,0,30,0,15,15,12830,0,0,0,0,0,,
ToolSandbox ReAct,search_sender_phone_number_with_content,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,9,4,4,5,3559,0,0,0,0,0,,
ToolSandbox ReAct,send_message_with_phone_number_and_content,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.5,0.5,0.0,0,30,0,15,15,11680,0,0,0,0,0,,
ToolSandbox ReAct,find_thanksgiving_timestamp,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,15,0,7,8,3495,0,0,0,0,0,,
ToolSandbox ReAct,find_address_with_lat_lon,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,15,7,7,8,8085,0,0,0,0,0,,
ToolSandbox ReAct,find_phone_number_with_location_name,CANONICALIZATION;SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,1,0,0,1,231,0,0,0,0,1,,
ToolSandbox ReAct,find_temperature,CANONICALIZATION;SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,1,0,0,1,233,0,0,0,0,1,,
ToolSandbox ReAct,find_stock_symbol_with_company_name,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.3347,0.3347,0.0,0,15,7,7,8,6476,0,0,0,0,0,,
ToolSandbox ReAct,convert_currency,CANONICALIZATION;SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,15,7,7,8,7869,0,0,0,0,0,,
ToolSandbox ReAct,convert_currency_canonicalize,CANONICALIZATION;SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,15,7,7,8,7876,0,0,0,0,0,,
ToolSandbox ReAct,search_message_with_recency_latest,MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,5,2,2,3,1874,0,0,0,0,0,,
ToolSandbox ReAct,search_message_with_recency_latest_alt,MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.5,0.5,0.0,0,30,1,15,15,14702,0,0,0,0,0,,
ToolSandbox ReAct,search_message_with_recency_oldest,MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.6667,0.6667,0.0,0,7,1,3,4,2349,0,0,0,0,1,,
ToolSandbox ReAct,search_message_with_recency_oldest_alt,MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.3333,0.3333,0.0,0,27,0,13,14,21736,0,0,0,0,0,,
ToolSandbox ReAct,modify_contact_with_message_recency,CANONICALIZATION;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.2,0.2,0.0,0,30,8,15,15,19421,0,0,0,0,0,,
ToolSandbox ReAct,modify_contact_with_message_recency_alt,CANONICALIZATION;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.2,0.2,0.0,0,30,7,15,15,18420,0,0,0,0,0,,
ToolSandbox ReAct,remove_contact_by_phone,CANONICALIZATION;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.8103,0.8103,0.0,0,19,4,9,10,10444,0,0,0,0,0,,
ToolSandbox ReAct,remove_contact_by_phone_alt,CANONICALIZATION;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.8103,0.8103,0.0,0,19,6,9,10,11936,0,0,0,0,0,,
ToolSandbox ReAct,remove_contact_by_phone_ambiguous,CANONICALIZATION;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.8476,0.8476,0.0,0,19,6,9,10,11777,0,0,0,0,0,,
ToolSandbox ReAct,remove_contact_by_phone_ambiguous_alt,CANONICALIZATION;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.8103,0.8103,0.0,0,17,6,8,9,10516,0,0,0,0,0,,
ToolSandbox ReAct,turn_on_wifi_low_battery_mode,STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,1,0,0,1,225,0,0,0,0,1,,
ToolSandbox ReAct,turn_on_wifi_low_battery_mode_implicit,STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,3,1,1,2,553,0,0,0,0,1,,
ToolSandbox ReAct,turn_on_cellular_low_battery_mode,STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,30,1,15,15,7624,0,0,0,0,0,,
ToolSandbox ReAct,turn_on_cellular_low_battery_mode_implicit,STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,3,1,1,2,585,0,0,0,0,1,,
ToolSandbox ReAct,turn_on_location_low_battery_mode,STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,3,1,1,2,561,0,0,0,0,1,,
ToolSandbox ReAct,turn_on_location_low_battery_mode_implicit,STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.1722,0.1722,0.0,0,15,7,7,8,4673,0,0,0,0,0,,
ToolSandbox ReAct,send_message_with_contact_content_cellular_off,STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.25,0.25,0.0,0,19,6,9,10,9332,0,0,0,0,1,,
ToolSandbox ReAct,send_message_with_contact_content_cellular_off_alt,STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.3503,0.3503,0.0,0,25,0,12,13,13215,0,0,0,0,0,,
ToolSandbox ReAct,update_contact_relationship_with_relationship,MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.2019,0.2019,0.0,0,21,0,10,11,7074,0,0,0,0,0,,
ToolSandbox ReAct,update_contact_relationship_with_relationship_alt,MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,3,0,1,2,891,0,0,0,0,1,,
ToolSandbox ReAct,find_days_till_holiday,CANONICALIZATION;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.25,0.25,0.0,0,5,0,2,3,1002,0,0,0,0,1,,
ToolSandbox ReAct,find_days_till_holiday_alt,CANONICALIZATION;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,1,0,0,1,267,0,0,0,0,1,,
ToolSandbox ReAct,find_days_till_holiday_wifi_off,CANONICALIZATION;STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.4,0.4,0.0,0,30,2,15,15,10010,0,0,0,0,0,,
ToolSandbox ReAct,find_days_till_holiday_wifi_off_alt,CANONICALIZATION;STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,5,2,2,3,1173,0,0,0,0,1,,
ToolSandbox ReAct,find_temperature_f_with_location,CANONICALIZATION;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,25,6,12,13,14758,0,0,0,0,0,,
ToolSandbox ReAct,find_temperature_f_with_location_alt,CANONICALIZATION;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,17,2,8,9,6986,0,0,0,0,0,,
ToolSandbox ReAct,find_temperature_f_with_location_wifi_off,CANONICALIZATION;STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.25,0.25,0.0,0,19,3,9,10,6420,0,0,0,0,1,,
ToolSandbox ReAct,find_temperature_f_with_location_wifi_off_alt,CANONICALIZATION;STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.25,0.25,0.0,0,17,1,8,9,5283,0,0,0,0,1,,
ToolSandbox ReAct,find_temperature_low_battery_mode,CANONICALIZATION;STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,30,6,15,15,10695,0,0,0,0,0,,
ToolSandbox ReAct,find_temperature_low_battery_mode_alt,CANONICALIZATION;STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.2,0.2,0.0,0,29,4,14,15,10067,0,0,0,0,1,,
ToolSandbox ReAct,find_stock_symbol_with_company_name_low_battery_mode,STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.5,0.5,0.0,0,27,7,13,14,9078,0,0,0,0,1,,
ToolSandbox ReAct,find_stock_symbol_with_company_name_low_battery_mode_alt,STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,27,13,13,14,9931,0,0,0,0,1,,
ToolSandbox ReAct,find_current_city_low_battery_mode,STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.3333,0.3333,0.0,0,23,5,11,12,7632,0,0,0,0,1,,
ToolSandbox ReAct,find_current_city_low_battery_mode_alt,STATE_DEPENDENCY;CANONICALIZATION;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.3333,0.3333,0.0,0,23,5,11,12,7632,0,0,0,0,1,,
ToolSandbox ReAct,find_distance_with_location_name,CANONICALIZATION;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,1,0,0,1,283,0,0,0,0,1,,
ToolSandbox ReAct,find_distance_with_location_name_alt,CANONICALIZATION;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,1,0,0,1,281,0,0,0,0,1,,
ToolSandbox ReAct,search_reminder_with_recency_upcoming,CANONICALIZATION;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,30,1,15,15,13628,0,0,0,0,0,,
ToolSandbox ReAct,search_reminder_with_recency_upcoming_implicit,CANONICALIZATION;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,15,0,7,8,5639,0,0,0,0,1,,
ToolSandbox ReAct,search_reminder_with_recency_yesterday,CANONICALIZATION;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,1,0,0,1,535,0,0,0,0,1,,
ToolSandbox ReAct,search_reminder_with_recency_yesterday_implicit,CANONICALIZATION;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,1,0,0,1,536,0,0,0,0,1,,
